ROW_INDEX,LOCATION,SUBURB,Reason Code,Audit Date,full_location
0,Agar Road,CORONET BAY,BC,Jul-2018,"Agar Road, CORONET BAY, VICTORIA, AUSTRALIA"
1,Aitken Boulevard,CRAIGIEBURN,ABC,Dec-2017,"Aitken Boulevard, CRAIGIEBURN, VICTORIA, AUSTRALIA"
2,Aitken Boulevard,ROXBURGH PARK,ABC,Dec-2017,"Aitken Boulevard, ROXBURGH PARK, VICTORIA, AUSTRALIA"
3,Aitken Street,ALEXANDRA,C,Apr-2018,"Aitken Street, ALEXANDRA, VICTORIA, AUSTRALIA"
4,Albert Avenue,BORONIA,C,Jan-2018,"Albert Avenue, BORONIA, VICTORIA, AUSTRALIA"
5,Albert Road,WARRAGUL,ABC,Apr-2018,"Albert Road, WARRAGUL, VICTORIA, AUSTRALIA"
6,Alexanders Road,MORWELL,ABC,Apr-2018,"Alexanders Road, MORWELL, VICTORIA, AUSTRALIA"
7,Allan Street,KYABRAM,C,Apr-2018,"Allan Street, KYABRAM, VICTORIA, AUSTRALIA"
8,Allenby Avenue,RESERVOIR,C,Apr-2018,"Allenby Avenue, RESERVOIR, VICTORIA, AUSTRALIA"
9,Allies Road,MYERS FLAT,AC,Jul-2018,"Allies Road, MYERS FLAT, VICTORIA, AUSTRALIA"
10,Alma Street,TOOTGAROOK,BC,May-2018,"Alma Street, TOOTGAROOK, VICTORIA, AUSTRALIA"
11,Ambrose Treacy Drive,BUNDOORA,BC,Apr-2018,"Ambrose Treacy Drive, BUNDOORA, VICTORIA, AUSTRALIA"
12,Anakie Road,BELL PARK,BC,Apr-2018,"Anakie Road, BELL PARK, VICTORIA, AUSTRALIA"
13,Anderson Road,FAWKNER,C,Dec-2017,"Anderson Road, FAWKNER, VICTORIA, AUSTRALIA"
14,Anderson Road,SUNSHINE,ABC,Jul-2018,"Anderson Road, SUNSHINE, VICTORIA, AUSTRALIA"
15,Anglesea Road,FRESHWATER CREEK,BC,Apr-2018,"Anglesea Road, FRESHWATER CREEK, VICTORIA, AUSTRALIA"
