LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Agar Road,CORONET BAY,BC,Jul-2018,"Agar Road, CORONET BAY",0,0.0,145.4465196,-38.435757,"Agar Rd, Coronet Bay VIC 3984, Australia",2018-August-06
Aitken Boulevard,CRAIGIEBURN,ABC,Dec-2017,"Aitken Boulevard, CRAIGIEBURN",1,1.0,144.9099171,-37.5947825999999,"Aitken Blvd, Craigieburn VIC 3064, Australia",2018-August-06
Aitken Boulevard,ROXBURGH PARK,ABC,Dec-2017,"Aitken Boulevard, ROXBURGH PARK",2,2.0,144.9149524,-37.62434,"Aitken Blvd, Roxburgh Park VIC 3064, Australia",2018-August-06
Aitken Street,ALEXANDRA,C,Apr-2018,"Aitken Street, ALEXANDRA",3,3.0,145.7036064,-37.187826,"Aitken St, Alexandra VIC 3714, Australia",2018-August-06
Albert Avenue,BORONIA,C,Jan-2018,"Albert Avenue, BORONIA",4,4.0,145.2976319,-37.854281,"Albert Ave, Boronia VIC 3155, Australia",2018-August-06
Albert Road,WARRAGUL,ABC,Apr-2018,"Albert Road, WARRAGUL",5,5.0,145.9486681,-38.1624325,"Albert Rd, Warragul VIC 3820, Australia",2018-August-06
Alexanders Road,MORWELL,ABC,Apr-2018,"Alexanders Road, MORWELL",6,6.0,146.4440671,-38.2183567,"Alexanders Rd, Morwell VIC 3840, Australia",2018-August-06
Allan Street,KYABRAM,C,Apr-2018,"Allan Street, KYABRAM",7,7.0,145.049871,-36.3134903,"Allan St, Kyabram VIC 3620, Australia",2018-August-06
Allenby Avenue,RESERVOIR,C,Apr-2018,"Allenby Avenue, RESERVOIR",8,8.0,145.0063066,-37.7026163,"Allenby Ave, Reservoir VIC 3073, Australia",2018-August-06
Allies Road,MYERS FLAT,AC,Jul-2018,"Allies Road, MYERS FLAT",9,9.0,144.2008949,-36.7201102,"Allies Rd, Myers Flat VIC 3556, Australia",2018-August-06
Alma Street,TOOTGAROOK,BC,May-2018,"Alma Street, TOOTGAROOK",10,10.0,144.8508288,-38.3769892,"Alma St, Tootgarook VIC 3941, Australia",2018-August-06
Ambrose Treacy Drive,BUNDOORA,BC,Apr-2018,"Ambrose Treacy Drive, BUNDOORA",11,11.0,145.0713899,-37.6895381,"Ambrose Treacy Dr, Bundoora VIC 3083, Australia",2018-August-06
Anakie Road,BELL PARK,BC,Apr-2018,"Anakie Road, BELL PARK",12,12.0,144.3328413,-38.1040111,"Anakie Rd, Bell Park VIC 3215, Australia",2018-August-06
Anderson Road,FAWKNER,C,Dec-2017,"Anderson Road, FAWKNER",13,13.0,144.9663864,-37.6955532,"Anderson Rd, Fawkner VIC 3060, Australia",2018-August-06
Anderson Road,SUNSHINE,ABC,Jul-2018,"Anderson Road, SUNSHINE",14,14.0,144.827243,-37.785981,"Anderson Rd, Sunshine VIC 3020, Australia",2018-August-06
Anglesea Road,FRESHWATER CREEK,BC,Apr-2018,"Anglesea Road, FRESHWATER CREEK",15,15.0,144.2695112,-38.2696743,"Anglesea Rd, Freshwater Creek VIC 3217, Australia",2018-August-06
Anzac Parade,BANDIANA,C,Apr-2018,"Anzac Parade, BANDIANA",16,16.0,146.9171015,-36.1414452,"Anzac Parade, Victoria, Australia",2018-August-06
Anzac Road,TRAFALGAR,B,Apr-2018,"Anzac Road, TRAFALGAR",17,17.0,146.157171,-38.2107527,"Anzac Rd, Trafalgar VIC 3824, Australia",2018-August-06
Apollo Road,TAYLORS LAKES,BC,Jul-2018,"Apollo Road, TAYLORS LAKES",18,18.0,144.7993035,-37.7085649,"Apollo Rd, Taylors Lakes VIC 3038, Australia",2018-August-06
Ararat Road,STAWELL,B,Jul-2018,"Ararat Road, STAWELL",19,19.0,142.7720395,-37.0714732,"Ararat Rd, Stawell VIC 3380, Australia",2018-August-06
Ararat-Halls Gap Road,JALLUKAR,AC,Jul-2018,"Ararat-Halls Gap Road, JALLUKAR",20,20.0,142.6968731,-37.2393266,"Jallukar N Rd & Ararat-Halls Gap Rd, Moyston VIC 3377, Australia",2018-August-06
Ararat-Halls Gap Road,MOYSTON,AC,Jul-2018,"Ararat-Halls Gap Road, MOYSTON",21,21.0,142.7432523,-37.259597,"Ararat-Halls Gap Rd, Moyston VIC 3377, Australia",2018-August-06
Ararat-Halls Gap Road,POMONAL,ABC,Jul-2018,"Ararat-Halls Gap Road, POMONAL",22,22.0,142.6509873,-37.2160277,"Ararat-Halls Gap Rd, Pomonal VIC 3381, Australia",2018-August-06
Ararat-Mortlake Road,ARARAT,B,Jul-2018,"Ararat-Mortlake Road, ARARAT",23,23.0,142.920858,-37.315889,"Mortlake-Ararat Rd, Ararat VIC 3377, Australia",2018-August-06
Armstrong Road,WYNDHAM VALE (NWB),ABC,Jun-2018,"Armstrong Road, WYNDHAM VALE (NWB)",24,24.0,144.6082774,-37.8777243,"Armstrong Rd, Wyndham Vale VIC 3024, Australia",2018-August-06
Armstrong Street,ELLIMINYT,ABC,Apr-2018,"Armstrong Street, ELLIMINYT",25,25.0,143.5740407,-38.3520391,"Armstrong St, Colac VIC 3250, Australia",2018-August-06
Army Road,PAKENHAM,B,Jul-2018,"Army Road, PAKENHAM",26,26.0,145.4997481,-38.0483946,"Army Rd, Pakenham VIC 3810, Australia",2018-August-06
