LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
Agar Road,CORONET BAY,BC,Jul-18,"Agar Road, CORONET BAY",0,145.4465196,-38.435757,"Agar Rd, Coronet Bay VIC 3984, Australia",2018-August-06,TRUE
Aitken Boulevard,CRAIGIEBURN,ABC,Dec-17,"Aitken Boulevard, CRAIGIEBURN",1,144.9099171,-37.5947826,"Aitken Blvd, Craigieburn VIC 3064, Australia",2018-August-06,TRUE
Aitken Boulevard,ROXBURGH PARK,ABC,Dec-17,"Aitken Boulevard, ROXBURGH PARK",2,144.9149524,-37.62434,"Aitken Blvd, Roxburgh Park VIC 3064, Australia",2018-August-06,TRUE
Aitken Street,ALEXANDRA,C,Apr-18,"Aitken Street, ALEXANDRA",3,145.7036064,-37.187826,"Aitken St, Alexandra VIC 3714, Australia",2018-August-06,TRUE
Albert Avenue,BORONIA,C,Jan-18,"Albert Avenue, BORONIA",4,145.2976319,-37.854281,"Albert Ave, Boronia VIC 3155, Australia",2018-August-06,TRUE
Albert Road,WARRAGUL,ABC,Apr-18,"Albert Road, WARRAGUL",5,145.9486681,-38.1624325,"Albert Rd, Warragul VIC 3820, Australia",2018-August-06,TRUE
Alexanders Road,MORWELL,ABC,Apr-18,"Alexanders Road, MORWELL",6,146.4440671,-38.2183567,"Alexanders Rd, Morwell VIC 3840, Australia",2018-August-06,TRUE
Allan Street,KYABRAM,C,Apr-18,"Allan Street, KYABRAM",7,145.049871,-36.3134903,"Allan St, Kyabram VIC 3620, Australia",2018-August-06,TRUE
Allenby Avenue,RESERVOIR,C,Apr-18,"Allenby Avenue, RESERVOIR",8,145.0063066,-37.7026163,"Allenby Ave, Reservoir VIC 3073, Australia",2018-August-06,TRUE
Allies Road,MYERS FLAT,AC,Jul-18,"Allies Road, MYERS FLAT",9,144.2008949,-36.7201102,"Allies Rd, Myers Flat VIC 3556, Australia",2018-August-06,TRUE
Alma Street,TOOTGAROOK,BC,May-18,"Alma Street, TOOTGAROOK",10,144.8508288,-38.3769892,"Alma St, Tootgarook VIC 3941, Australia",2018-August-06,TRUE
Ambrose Treacy Drive,BUNDOORA,BC,Apr-18,"Ambrose Treacy Drive, BUNDOORA",11,145.0713899,-37.6895381,"Ambrose Treacy Dr, Bundoora VIC 3083, Australia",2018-August-06,TRUE
Anakie Road,BELL PARK,BC,Apr-18,"Anakie Road, BELL PARK",12,144.3328413,-38.1040111,"Anakie Rd, Bell Park VIC 3215, Australia",2018-August-06,TRUE
Anderson Road,FAWKNER,C,Dec-17,"Anderson Road, FAWKNER",13,144.9663864,-37.6955532,"Anderson Rd, Fawkner VIC 3060, Australia",2018-August-06,TRUE
Anderson Road,SUNSHINE,ABC,Jul-18,"Anderson Road, SUNSHINE",14,144.827243,-37.785981,"Anderson Rd, Sunshine VIC 3020, Australia",2018-August-06,TRUE
Anglesea Road,FRESHWATER CREEK,BC,Apr-18,"Anglesea Road, FRESHWATER CREEK",15,144.2695112,-38.2696743,"Anglesea Rd, Freshwater Creek VIC 3217, Australia",2018-August-06,TRUE
Anzac Parade,BANDIANA,C,Apr-18,"Anzac Parade, BANDIANA",16,146.9171015,-36.1414452,"Anzac Parade, Victoria, Australia",2018-August-06,TRUE
Anzac Road,TRAFALGAR,B,Apr-18,"Anzac Road, TRAFALGAR",17,146.157171,-38.2107527,"Anzac Rd, Trafalgar VIC 3824, Australia",2018-August-06,TRUE
Apollo Road,TAYLORS LAKES,BC,Jul-18,"Apollo Road, TAYLORS LAKES",18,144.7993035,-37.7085649,"Apollo Rd, Taylors Lakes VIC 3038, Australia",2018-August-06,TRUE
Ararat Road,STAWELL,B,Jul-18,"Ararat Road, STAWELL",19,142.7720395,-37.0714732,"Ararat Rd, Stawell VIC 3380, Australia",2018-August-06,TRUE
Ararat-Halls Gap Road,JALLUKAR,AC,Jul-18,"Ararat-Halls Gap Road, JALLUKAR",20,142.6968731,-37.2393266,"Jallukar N Rd & Ararat-Halls Gap Rd, Moyston VIC 3377, Australia",2018-August-06,TRUE
Ararat-Halls Gap Road,MOYSTON,AC,Jul-18,"Ararat-Halls Gap Road, MOYSTON",21,142.7432523,-37.259597,"Ararat-Halls Gap Rd, Moyston VIC 3377, Australia",2018-August-06,TRUE
Ararat-Halls Gap Road,POMONAL,ABC,Jul-18,"Ararat-Halls Gap Road, POMONAL",22,142.6509873,-37.2160277,"Ararat-Halls Gap Rd, Pomonal VIC 3381, Australia",2018-August-06,TRUE
Ararat-Mortlake Road,ARARAT,B,Jul-18,"Ararat-Mortlake Road, ARARAT",23,142.920858,-37.315889,"Mortlake-Ararat Rd, Ararat VIC 3377, Australia",2018-August-06,TRUE
Armstrong Road,WYNDHAM VALE (NWB),ABC,Jun-18,"Armstrong Road, WYNDHAM VALE (NWB)",24,144.6082774,-37.8777243,"Armstrong Rd, Wyndham Vale VIC 3024, Australia",2018-August-06,TRUE
Armstrong Street,ELLIMINYT,ABC,Apr-18,"Armstrong Street, ELLIMINYT",25,143.5740407,-38.3520391,"Armstrong St, Colac VIC 3250, Australia",2018-August-06,TRUE
Army Road,PAKENHAM,B,Jul-18,"Army Road, PAKENHAM",26,145.4997481,-38.0483946,"Army Rd, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Army Road,PAKENHAM UPPER,BC,May-18,"Army Road, PAKENHAM UPPER",27,145.4979831,-38.0359153,"Army Rd, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Arthur Street,ST ALBANS,C,Jul-18,"Arthur Street, ST ALBANS",28,144.8042343,-37.7350111,"Arthur St, St Albans VIC 3021, Australia",2018-August-06,TRUE
Arthurs Creek Road,ARTHURS CREEK,ABC,Jul-18,"Arthurs Creek Road, ARTHURS CREEK",29,145.1785567,-37.5701833,"Arthurs Creek Rd, Arthurs Creek VIC 3099, Australia",2018-August-06,TRUE
Arthurs Creek Road,YAN YEAN,AC,Apr-18,"Arthurs Creek Road, YAN YEAN",30,145.1427042,-37.5712978,"Arthurs Creek Rd, Yan Yean VIC 3755, Australia",2018-August-06,TRUE
Arundel Road,KEILOR,C,Jul-18,"Arundel Road, KEILOR",31,144.8328148,-37.7033956,"Arundel Rd, Keilor VIC 3036, Australia",2018-August-06,TRUE
Ascot Vale Road,ASCOT VALE,C,Dec-17,"Ascot Vale Road, ASCOT VALE",32,144.9228725,-37.7788412,"Ascot Vale Rd, Ascot Vale VIC 3032, Australia",2018-August-06,TRUE
Atkins Road,PAKENHAM,B,May-18,"Atkins Road, PAKENHAM",33,145.4879691,-38.0697975,"Atkins Rd, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Avenel Road,SEYMOUR,BC,Apr-18,"Avenel Road, SEYMOUR",34,145.1558142,-37.0041549,"Avenel Rd, Seymour VIC 3660, Australia",2018-August-06,TRUE
Avondale Avenue,ST ALBANS,BC,Jul-18,"Avondale Avenue, ST ALBANS",35,144.8151402,-37.7422799,"Avondale Ave, St Albans VIC 3021, Australia",2018-August-06,TRUE
Axe Creek Road,AXE CREEK,C,May-18,"Axe Creek Road, AXE CREEK",36,144.3860066,-36.8565865,"Axe Creek Rd, Axe Creek VIC 3551, Australia",2018-August-06,TRUE
Back Beach Road,VENTNOR,A,Apr-18,"Back Beach Road, VENTNOR",37,145.2012629,-38.4966426,"Back Beach Rd, Ventnor VIC 3922, Australia",2018-August-06,TRUE
Back Eildon Road,THORNTON,C,Apr-18,"Back Eildon Road, THORNTON",38,145.8402688,-37.2571534,"Back Eildon Rd, Thornton VIC 3712, Australia",2018-August-06,TRUE
Bakers Road,NOBLE PARK NORTH,C,Apr-18,"Bakers Road, NOBLE PARK NORTH",39,145.1974044,-37.9479735,"Bakers Rd, Dandenong North VIC 3175, Australia",2018-August-06,TRUE
Balcombe Road,BEAUMARIS,ABC,Jun-18,"Balcombe Road, BEAUMARIS",40,145.0390665,-37.9781368,"Balcombe Rd, Beaumaris VIC 3193, Australia",2018-August-06,TRUE
Ballan Road,BATESFORD (WCO),ABC,Jun-18,"Ballan Road, BATESFORD (WCO)",41,144.2415697,-37.6146129,"Ballan VIC 3342, Australia",2018-August-06,TRUE
Ballan Road,WYNDHAM VALE,C,Feb-18,"Ballan Road, WYNDHAM VALE",42,144.6052735,-37.8660417,"Ballan Rd, Wyndham Vale VIC 3024, Australia",2018-August-06,TRUE
Ballan-Daylesford Road,BUNDING,ABC,Apr-18,"Ballan-Daylesford Road, BUNDING",43,144.1786549,-37.5378954,"Ballan-Daylesford Rd, Bunding VIC 3342, Australia",2018-August-06,TRUE
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,Apr-18,"Ballan-Daylesford Road, KORWEINGUBOORA",44,144.127726,-37.4441365,"Ballan-Daylesford Rd, Korweinguboora VIC 3461, Australia",2018-August-06,TRUE
Ballarat Road,FOOTSCRAY,C,Feb-18,"Ballarat Road, FOOTSCRAY",45,144.8962696,-37.7932329,"Ballarat Rd, Footscray VIC 3011, Australia",2018-August-06,TRUE
Ballarat Road,HAMILTON,C,May-18,"Ballarat Road, HAMILTON",46,142.0488238,-37.7435628,"Ballarat Rd, Hamilton VIC 3300, Australia",2018-August-06,TRUE
Ballarat Road,RAVENHALL,BC,Apr-18,"Ballarat Road, RAVENHALL",47,144.7422617,-37.757231,"Ballarat Rd, Ravenhall VIC 3023, Australia",2018-August-06,TRUE
Ballarto Road,CARDINIA,BC,May-18,"Ballarto Road, CARDINIA",48,145.4218,-38.1457689,"Ballarto Rd, Cardinia VIC 3978, Australia",2018-August-06,TRUE
Ballarto Road,CARRUM DOWNS,C,May-18,"Ballarto Road, CARRUM DOWNS",49,145.1804843,-38.1155169,"Ballarto Rd, Carrum Downs VIC 3201, Australia",2018-August-06,TRUE
Ballarto Road,CLYDE,B,Feb-18,"Ballarto Road, CLYDE",50,145.3537207,-38.1371224,"Ballarto Rd, Clyde VIC 3978, Australia",2018-August-06,TRUE
Ballarto Road,SKYE,ABC,May-18,"Ballarto Road, SKYE",51,145.2122706,-38.1194414,"Ballarto Rd, Skye VIC 3977, Australia",2018-August-06,TRUE
Balwyn Road,BALWYN,C,Apr-18,"Balwyn Road, BALWYN",52,145.0819831,-37.8095316,"Balwyn Rd, Balwyn VIC 3103, Australia",2018-August-06,TRUE
Bank Street,AVENEL,C,Apr-18,"Bank Street, AVENEL",53,145.225074,-36.8894106,"Bank St, Avenel VIC 3664, Australia",2018-August-06,TRUE
Banksia Street,HEIDELBERG HEIGHTS,BC,Apr-18,"Banksia Street, HEIDELBERG HEIGHTS",54,145.0506788,-37.7577026,"Banksia St, Heidelberg Heights VIC 3081, Australia",2018-August-06,TRUE
Bannons Lane,YARRAMBAT,ABC,Jul-18,"Bannons Lane, YARRAMBAT",55,145.1506328,-37.6285638,"Bannons Ln, Yarrambat VIC 3091, Australia",2018-August-06,TRUE
Banyule Road,VIEWBANK,BC,Apr-18,"Banyule Road, VIEWBANK",56,145.0961005,-37.7414181,"Banyule Rd, Viewbank VIC 3084, Australia",2018-August-06,TRUE
Barkly Street,WEST FOOTSCRAY,C,Feb-18,"Barkly Street, WEST FOOTSCRAY",57,144.8747065,-37.7971173,"Barkly St, West Footscray VIC 3012, Australia",2018-August-06,TRUE
Barkly Street West,ARARAT,B,Jul-18,"Barkly Street West, ARARAT",58,142.9170398,-37.2875056,"Barkly St W, Ararat VIC 3377, Australia",2018-August-06,TRUE
Barmah-Shepparton Road,BUNBARTHA,C,Apr-18,"Barmah-Shepparton Road, BUNBARTHA",59,145.353837,-36.2512068,"Barmah-Shepparton Rd, Bunbartha VIC 3634, Australia",2018-August-06,TRUE
Barmah-Shepparton Road,ZEERUST,AC,Apr-18,"Barmah-Shepparton Road, ZEERUST",60,145.3752195,-36.2886852,"Barmah-Shepparton Rd, Zeerust VIC 3634, Australia",2018-August-06,TRUE
Barnes Boulevard,HORSHAM,C,Jul-18,"Barnes Boulevard, HORSHAM",61,142.1822115,-36.7267663,"Barnes Blvd, Horsham VIC 3400, Australia",2018-August-06,TRUE
Barrabool Road,CERES,BC,Apr-18,"Barrabool Road, CERES",62,144.2718603,-38.1710215,"Barrabool Rd, Ceres VIC 3221, Australia",2018-August-06,TRUE
Barrabool Road,HIGHTON,BC,Apr-18,"Barrabool Road, HIGHTON",63,144.3101782,-38.1692794,"Barrabool Rd, Highton VIC 3216, Australia",2018-August-06,TRUE
Barrands Lane,DRYSDALE,BC,Apr-18,"Barrands Lane, DRYSDALE",64,144.5674908,-38.1670618,"Barrands Ln, Victoria 3222, Australia",2018-August-06,TRUE
Barries Road,MELTON,C,Jul-18,"Barries Road, MELTON",65,144.5712865,-37.6880287,"Barries Rd, Melton VIC 3337, Australia",2018-August-06,TRUE
Barry Road,COOLAROO,ABC,Dec-17,"Barry Road, COOLAROO",66,144.9340813,-37.6651495,"Barry Rd, Coolaroo VIC 3048, Australia",2018-August-06,TRUE
Barry Street,ROMSEY,C,Apr-18,"Barry Street, ROMSEY",67,144.7432066,-37.3506929,"Barry St, Romsey VIC 3434, Australia",2018-August-06,TRUE
Barrymore Road,GREENVALE,C,Dec-17,"Barrymore Road, GREENVALE",68,144.8900514,-37.6517551,"Barrymore Rd, Greenvale VIC 3059, Australia",2018-August-06,TRUE
Barwon Heads Road,CONNEWARRE,ABC,Apr-18,"Barwon Heads Road, CONNEWARRE",69,144.424476,-38.2593972,"Barwon Heads Rd, Connewarre VIC 3227, Australia",2018-August-06,TRUE
Barwon Terrace,WINCHELSEA,BC,Apr-18,"Barwon Terrace, WINCHELSEA",70,143.9979937,-38.2479123,"Barwon Terrace, Winchelsea VIC 3241, Australia",2018-August-06,TRUE
Bass Highway,DALYSTON,C,Apr-18,"Bass Highway, DALYSTON",71,145.5416405,-38.5639717,"Bass Hwy, Dalyston VIC 3992, Australia",2018-August-06,TRUE
Bass Highway,INVERLOCH,C,Apr-18,"Bass Highway, INVERLOCH",72,145.7477128,-38.6135798,"Bass Hwy, Inverloch VIC 3996, Australia",2018-August-06,TRUE
Bass Highway,LANG LANG SOUTH,AC,Apr-18,"Bass Highway, LANG LANG SOUTH",73,145.546076,-38.3271139,"Bass Hwy, Lang Lang VIC 3984, Australia",2018-August-06,TRUE
Bass Highway,LEONGATHA SOUTH,C,Apr-18,"Bass Highway, LEONGATHA SOUTH",74,145.8580322,-38.5425889,"Bass Hwy, Leongatha South VIC 3953, Australia",2018-August-06,TRUE
Bass Highway,THE GURDIES,C,Apr-18,"Bass Highway, THE GURDIES",75,145.5546053,-38.3802833,"Bass Hwy, The Gurdies VIC 3984, Australia",2018-August-06,TRUE
Bass Highway,WONTHAGGI,C,Apr-18,"Bass Highway, WONTHAGGI",76,145.6191036,-38.6087211,"Bass Hwy, Wonthaggi VIC 3995, Australia",2018-August-06,TRUE
Baxter-Tooradin Road,BAXTER,ABC,May-18,"Baxter-Tooradin Road, BAXTER",77,145.1716402,-38.1975168,"Baxter-Tooradin Rd, Baxter VIC 3911, Australia",2018-August-06,TRUE
