lga code,Number of fixed cameras,extract_date,lga_name,area_square_km
20570,1,2/7/18,Ballarat (C),739.03
20660,3,2/7/18,Banyule (C),62.54
20910,4,2/7/18,Bayside (C),37.21
21110,19,2/7/18,Boroondara (C),60.18
21180,6,2/7/18,Brimbank (C),123.4
21370,1,2/7/18,Campaspe (S),4518.86
21610,10,2/7/18,Casey (C),409.43
21890,13,2/7/18,Darebin (C),53.47
22170,8,2/7/18,Frankston (C),129.6
22310,7,2/7/18,Glen Eira (C),38.69
22620,6,2/7/18,Greater Bendigo (C),2999.97
22670,10,2/7/18,Greater Dandenong (C),129.55
22750,16,2/7/18,Greater Geelong (C),1247.99
22830,1,2/7/18,Greater Shepparton (C),2421.91
23110,3,2/7/18,Hobsons Bay (C),64.24
23270,10,2/7/18,Hume (C),503.85
23430,10,2/7/18,Kingston (C) (Vic.),91.37
23670,11,2/7/18,Knox (C),113.91
24210,6,2/7/18,Manningham (C),113.35
24330,11,2/7/18,Maribyrnong (C),31.23
24410,7,2/7/18,Maroondah (C),61.41
24600,30,2/7/18,Melbourne (C),37.35
24780,1,2/7/18,Mildura (RC),22082.48
24850,6,2/7/18,Mitchell (S),2862.08
24970,17,2/7/18,Monash (C),81.48
25060,2,2/7/18,Moonee Valley (C),43.14
25250,6,2/7/18,Moreland (C),50.95
25340,10,2/7/18,Mornington Peninsula (S),724.17
25900,11,2/7/18,Port Phillip (C),20.71
26350,9,2/7/18,Stonnington (C),25.65
26730,1,2/7/18,Warrnambool (C),120.95
26810,1,2/7/18,Wellington (S),10817.33
26980,15,2/7/18,Whitehorse (C),64.28
27070,2,2/7/18,Whittlesea (C),489.69
27170,1,2/7/18,Wodonga (C),432.69
27260,3,2/7/18,Wyndham (C),542.09
27350,8,2/7/18,Yarra (C),19.54
27450,1,2/7/18,Yarra Ranges (S),2468.21
